"","P_5","P_7","P_8","P_9","P_10","P_18","P_19","P_22","P_23","P_25","P_31","P_37","P_42","P_43","P_47","P_50"
"NFKBIZ",8.79074934090434,11.5195091504974,11.7895929407338,8.84687323598293,10.8892403077177,9.17350618582404,9.95955323503933,9.94253607753993,9.08935653766636,9.68124559192687,10.2788403519435,11.0193057850524,9.89849071860054,9.68725287756416,10.6090775334842,9.6041493494965
"MUC4",3.33808792538707,0.67489225100364,2.47452348780655,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,4.50696486411152,-0.200196487359468,-9.96578428466209,-1.64651485928637,2.78353935718392,-9.96578428466209,-9.96578428466209,-9.96578428466209,-0.231519843561135
"SLIT2",7.01187552068871,8.52509300259151,9.03224990382946,6.33829665762598,7.62270578455766,7.83168727698352,4.09186179606248,7.88591968388555,6.96450566903443,6.98466453820852,7.3461693458314,7.89997852498694,6.58607599534143,7.4145771023199,7.72118594814842,6.07680441236571
"EPHA5",3.95174083386543,5.10676853334507,7.47793800795517,1.72767330470993,3.60950517943156,3.02049633740265,6.5304929341576,7.63074622191222,1.39565326276253,6.88586442320066,-9.96578428466209,4.1816896424963,3.18903957282725,3.36224314742736,2.14891625800042,7.77945506678812
"GZMA",8.56820788456117,8.98014887247448,8.39973886640632,8.34758223842868,9.0502840347698,8.71657805190553,9.00820372712887,5.81665266169756,8.3806822923689,10.7191452736035,9.56710124137786,9.94654013282469,8.99317447339524,6.4900545531692,8.48598579616247,7.15592896655958
"CXCL14",10.6390965235162,16.129979903093,15.3999666663316,14.4399351549768,15.459968024223,13.1898457668962,6.88283905495428,10.9792862631851,12.9098127288101,13.9099063674437,12.1896915173021,15.509969113447,8.79074934090434,12.1896915173021,14.3299300172954,8.33253599492369
"IL9",-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,1.23589413187042,0.141885041131139,-0.200196487359468,2.03784432889712,-9.96578428466209,-9.96578428466209,-2.99947886740776,-9.96578428466209,-9.96578428466209,-9.96578428466209
"TNFRSF21",11.3394439119362,9.52204104180664,9.56509860557758,8.54213883182142,10.1287132332376,8.98115084999277,10.3488952962305,7.13377366428509,10.6891273085521,11.909625433308,9.67323583043263,10.2287994400228,9.39385915918125,9.26866523966545,9.27066847670305,9.73731242578949
"NFKBIE",9.00419595590681,7.68501335831841,8.32852358165166,7.70711934359966,8.16298024695728,8.42481217648184,9.41689304340933,8.79976957909975,9.31073228246437,9.70627574962558,9.64119623795607,7.69606655395564,9.3297619750676,7.92809450094221,8.20412113357095,8.6875084862711
"SDK1",5.24652637872354,7.41960632826896,6.63759694669509,6.792052729916,6.68607055026815,5.8837956830041,3.23003544799947,6.32918518642005,4.90260243157531,5.09338988724681,4.79396015917682,6.9544253980705,6.32311048019415,5.34189451904319,6.38586748528717,3.51405937371423
