"","GSM4063816","GSM4063814","GSM4063823","GSM4063832","GSM4063818","GSM4063830","GSM4063817","GSM4063829","GSM4063821","GSM4063815","GSM4063820","GSM4063822","GSM4063826","GSM4063819","GSM4063831","GSM4063825","GSM4063824","GSM4063833","GSM4063834","GSM4063827","GSM4063828"
"BRCA1",8.33801563488151,8.5980301614848,7.61139889017553,9.12230516573648,10.2902216396498,7.64612880758601,8.05075144839256,10.1263921562139,9.97247152336753,8.33945899735837,7.69617469524553,9.92643892274918,9.36849467544863,6.01971080895916,9.53366690583214,7.60800193539297,8.94444179574586,7.03858762507918,9.13036694954793,7.94240776541611,8.16854526569351
"CD22",9.47104964000269,11.9419139905189,5.15068923711971,5.55899277957546,9.74595930584636,7.9866993316557,9.9061967329135,8.94087969798125,7.60971877025746,4.26161580989276,9.88771671366253,5.95168057114684,4.90564404961391,12.6443894375362,10.1747721695844,8.3785593076984,10.8763834143551,5.55618720874396,6.0302396158847,7.33659492635933,8.52327770145095
"CD6",11.0872015943233,11.6873258137961,7.3587707429473,7.26358470405439,9.33732775844487,8.74924295062185,10.7520025690991,10.5945504156179,8.51212572994114,10.7545167620558,11.0921261541606,6.29399685516007,7.84857349363481,12.1873678487247,10.6130619491726,10.6274271831062,10.4148796958787,5.84168762016545,8.50096652939554,10.0888597755403,9.91806208065715
"SNAI2",8.36133323985729,8.59860490005479,9.24397676509131,10.3584479127077,9.49823849923746,5.59435954173099,7.87960959157474,9.93940569849937,8.45181691653942,7.41527107298494,8.81308083325658,10.7760998745436,11.2793987458349,7.63636940769281,9.44035904841176,1.62033772938715,10.8023636866268,9.27781485809703,10.4099678987692,8.09678524536687,9.96359737781131
"CD74",11.8546085656998,10.9286819553137,7.82202519627259,6.39288065088592,11.1404719278044,8.71586695109001,12.6156254992135,12.1831533688683,10.830428056374,11.168080379019,11.0075795633475,8.09138407783325,8.80859517094051,11.7249848690177,10.0802326046885,11.2571450157398,11.3911178986808,8.73729095283382,9.98314467910729,10.5886265722882,11.8014246414076
"HGF",5.86979196695182,4.87928818677404,2.93334394164139,2.39421037026448,6.68690806598205,3.38474196852202,7.98638761073516,6.85989502692444,4.8621815736924,4.1409904645056,7.09020877259252,1.70577314606383,3.33301720285048,-9.96578428466209,5.84971759629038,3.14657735097663,5.74859406432286,0.240349747443869,3.98422384562576,0.685011682307619,2.12604378921027
"FAS",8.03795376131147,9.16336915964904,5.79618890137918,7.35218647400349,7.77436077576507,8.48893951902431,9.40070271665833,8.55529429518236,7.27018504662011,9.61404502074137,8.4541911131433,8.0672880670203,8.11504260944354,8.99457123908038,8.76692273874404,9.27939862975233,8.69042896894202,7.42978834089778,8.38362999608585,6.27150075225235,7.94450065523143
"CD44",-4.13451910292247,1.0075399844624,5.09696008882055,5.94695632209712,2.36860018780628,3.90115073139942,4.84377636636829,1.89994164126053,4.80356545134368,2.67620037284944,4.8644818358744,8.23401217062001,7.73167134505069,-9.96578428466209,5.73681320145413,3.70806249876946,6.22925278021076,5.09777679812889,7.3889110487106,7.24586070184035,2.09995125413069
"SLAMF7",12.0524651430386,10.421940680651,6.42575838053969,6.31180860954403,9.57904095067264,6.18513807787358,10.4545542877409,9.20046830641439,10.6010409009096,10.0110846564244,11.4410372992499,7.64448290462605,6.27068908759174,11.6272032669766,10.471582757029,8.40381433951342,10.8558643714331,6.10969695399124,8.18662633634298,9.63772778787268,9.04046453273935
"IKZF2",4.54206547118136,7.07459320449256,6.47615029339178,5.99129507854287,5.84009080430777,6.23877979128107,6.3750462102595,6.28772419805882,4.5098187001076,5.62985142333526,4.41082477144374,3.69234573172868,4.05267672430358,5.44486150221193,6.93174923421359,7.38960983041527,5.10608361127355,4.91182769684363,4.75089104997766,5.3239176415721,5.632367979066
"MAGEC2",4.99266964990016,-9.96578428466209,-9.96578428466209,8.18138535568175,6.36933351506304,-9.96578428466209,6.76331595822814,4.8428591887021,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,4.49552121018208,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,2.73782431917648
"TNFRSF17",8.2962031696236,7.65859353208506,-1.04766762655694,2.80265232424056,6.89481897565621,2.67786157189452,7.75256931363698,2.80673979065142,8.17145855237741,-9.96578428466209,9.06747550319713,5.76772444207686,-1.2921681500488,9.8527515534348,6.96870710746342,0.459112616613643,8.1941707944127,-9.96578428466209,-0.13974655097149,5.47279869722434,4.43761326735787
"TNFRSF9",5.96975511341651,6.22153182897823,0.831282209421064,3.03799115328299,4.95894565494371,2.89037625864707,6.25994433265461,4.03589131134575,4.77418983153382,6.19023201327846,3.60080138763693,2.39250729643083,3.92968023538299,3.13905800959919,4.32919967671052,6.00069886153507,4.87879203148373,-0.0269858354229281,2.88003131602468,3.68270475188793,2.59624940121805
"FOXP3",8.51937599391532,11.2982900120338,4.08034470441494,6.29594613285716,8.98302066061176,8.03682254195509,7.817664823924,9.49738622828001,9.15072441750023,8.07379988635055,9.42324682904438,6.33170611209297,9.1532677712496,9.58018770314212,9.17677803147537,6.92458925450813,10.0283868147849,4.4948200715608,8.20459315129384,8.11825692777709,9.68597710512269
"EIF2AK2",11.5633402484766,12.3468297728637,10.3592224521539,11.1267012467773,12.7937861745258,12.2099537746007,12.6414929692591,11.7353605487606,12.0027679092982,11.1273617945635,12.6864510650066,10.9808143439814,11.6380244971806,10.6551201272102,11.8496181661885,10.9608483255591,11.8984751744072,9.49676831139947,10.5383082623492,10.8135230860174,10.7348577767215
"PRDM1",8.37300518839098,7.84622689173391,5.52614833303071,6.11620171229218,7.53310620434156,6.72089131624756,6.97477249439555,7.1982043675675,8.89689544466172,6.90447325958411,8.3312681002384,6.73915142380831,7.14434927929334,9.14801637168724,8.63542937107182,5.6749032338722,7.71542804283057,6.97957724551812,5.37183657210083,7.32580013708046,6.9682831753718
"DGAT2",4.97448984891185,5.67017156379103,5.03338864075783,4.54591710805403,7.35512553379688,8.47673000516737,7.13277423327633,5.45084701210281,7.05238654780781,6.10799097916339,5.44679482372866,2.44877279397051,6.4757245154077,7.56270187614008,5.9387362696553,7.33133260113068,3.83757798194722,6.09085067882943,5.81776803134527,6.95503259838519,8.65312882444817
"IFI35",12.9783879971731,13.4863411784423,11.2220323064419,10.8027045655802,12.3837075320551,12.3737471626933,11.8132120159117,12.6507546879362,13.6831493535657,12.8220491438294,12.9570724689137,10.7237411393034,13.0938686249377,12.5447406238801,12.5714898158848,12.063496875338,13.1965541793212,10.0478273612312,11.2931531861807,12.8301507239711,14.0869937730899
"TFRC",10.6634887251057,10.845610793194,9.44148887440743,12.6810165430144,12.2975665918637,11.0044192270643,11.6865355436282,11.4367344418768,14.1383142835233,10.3749047155807,11.1946829944237,13.2604819262313,12.9947554260111,10.8067614594733,12.6792845746877,10.2889433387377,11.7482385621674,12.3136817739152,10.5601589359856,12.3960494828939,9.19970203264314
"FCGR2B",6.64530537019957,7.22526625238453,2.53130609527824,2.75876367432046,6.73159192916889,6.87602941744907,6.04507027883111,5.46627831238797,6.2455810369905,6.68027230859966,3.20328950106038,3.85391183673137,-9.96578428466209,8.43013428730896,6.41702260002539,6.05969293707928,7.09938673765669,4.22942334153102,5.36851484264667,6.38562913530371,6.87061254590596
